source,target
691,1233
112,1086
626,1127
609,766
921,73
770,587
914,404
1086,112
746,563
1233,280
1026,632
881,1022
944,643
1265,1022
1236,82
625,541
807,1236
198,350
6,1233
345,1256
1105,112
869,237
731,1245
792,552
498,731
587,747
1056,83
584,1064
524,463
1064,1127
6,1186
537,552
506,268
1245,82
82,506
461,540
540,461
402,687
792,898
1249,899
1091,552
910,944
163,339
997,73
6,1236
537,1198
474,1065
869,524
627,544
792,925
588,1127
587,733
583,769
1091,82
57,6
1236,881
160,1022
1117,55
928,588
1022,1265
131,552
404,1180
345,506
1247,112
303,1236
82,171
82,259
638,757
482,803
540,541
766,348
557,1166
587,82
898,541
997,550
716,627
1186,646
1219,743
1091,96
504,507
541,280
633,770
797,734
921,863
404,259
819,1249
982,1275
588,268
463,280
1019,280
109,880
831,390
1292,564
1154,74
898,792
584,1236
1193,171
18,925
1263,869
641,1233
734,797
696,718
587,280
301,23
944,93
183,1232
268,552
1186,474
259,584
648,96
774,944
1299,625
1233,925
735,656
1219,461
881,541
365,1216
160,34
931,1110
259,537
1132,331
1,280
1198,82
579,1266
1156,244
57,1193
6,646
404,268
1,1236
762,944
1233,537
330,635
944,280
944,1154
232,198
1236,339
388,1002
541,1275
876,109
537,48
404,898
280,1233
93,1154
376,609
715,630
1299,1107
762,339
696,551
587,463
1001,584
944,766
1236,588
1117,112
644,373
749,268
733,1154
1275,131
131,563
1261,595
537,6
68,716
233,1233
82,770
1256,345
259,73
792,458
12,403
339,139
1026,633
332,1072
73,997
967,474
373,430
82,1270
805,804
350,1186
899,1013
56,1057
1189,61
898,1131
1236,259
910,1111
910,97
609,819
520,524
1022,881
523,81
1261,625
268,498
1107,1236
1245,1091
350,1086
1127,1173
792,259
899,246
105,92
463,524
1001,588
944,107
459,1030
584,345
1266,587
18,294
280,404
1077,11
259,196
792,628
563,18
846,112
625,1127
595,584
584,48
880,1264
268,643
6,762
82,1117
82,588
869,944
869,519
350,1233
259,6
48,584
762,863
1115,304
1219,82
925,1233
595,131
966,964
96,650
18,588
733,417
81,1237
643,280
944,57
574,230
1205,716
348,1170
1282,1040
268,587
246,1205
280,298
82,944
82,268
231,541
1289,731
57,339
1090,638
625,588
348,474
584,341
1133,520
609,1249
46,537
246,540
280,1019
373,644
304,687
498,1236
1166,913
1166,331
587,160
1178,1144
898,1045
944,762
595,638
171,131
390,831
1022,82
733,6
131,537
198,898
349,1252
40,848
373,1065
1170,48
81,131
687,109
48,1241
1180,633
142,81
1233,770
1166,541
608,1044
1091,264
944,339
944,760
1236,1107
298,268
298,1132
770,1010
280,537
1047,201
584,792
997,869
68,124
404,1045
1231,1117
879,1018
82,131
82,792
1162,733
780,817
762,298
587,373
587,766
541,774
506,298
461,1127
1256,792
259,1064
1001,1289
625,1117
910,1186
287,147
554,268
1294,45
1231,584
82,280
82,1233
540,1205
552,595
784,986
1249,587
1047,944
1298,524
584,1241
1045,404
171,944
1193,1275
997,1
6,944
1110,595
280,82
645,831
914,376
605,574
81,259
1127,1064
1127,588
536,430
641,73
735,6
944,1180
1236,1
112,1247
246,899
259,766
463,609
898,1110
944,268
944,774
1236,997
200,1242
685,502
1022,1236
131,1275
131,57
68,1205
474,720
319,351
650,82
81,523
588,1241
1233,691
1233,373
74,93
1047,1236
863,48
1054,705
218,171
268,73
82,1064
1239,1127
1127,1198
259,1193
766,175
625,1236
160,268
18,1106
523,175
268,644
268,881
82,1198
687,552
643,350
1180,73
1180,770
105,1270
767,863
584,109
131,541
822,1267
827,628
384,537
602,869
124,752
595,506
541,131
406,1117
539,672
171,453
807,1077
298,643
656,625
280,474
135,325
44,1247
380,124
81,584
1242,200
1233,74
1047,876
1241,38
200,762
584,18
584,506
1275,93
537,944
537,792
404,96
93,1193
540,552
687,131
259,268
1180,259
1236,869
327,1087
733,1162
1275,541
1261,584
1064,301
537,1022
1110,1236
1078,1024
373,735
1245,474
1199,650
869,109
1186,910
1186,463
325,259
1299,1131
1115,156
746,131
109,869
1154,587
1236,541
1282,687
559,261
633,1026
997,1299
131,733
1231,82
259,142
48,762
518,1298
57,541
691,404
944,588
1236,6
595,898
107,1047
230,574
537,82
474,1271
506,6
82,650
350,6
1186,967
48,598
792,82
516,1131
552,1154
1198,625
1166,537
587,1064
1241,537
747,587
1236,1233
584,1180
171,1086
96,648
131,341
404,1233
280,625
280,519
638,1090
792,644
463,348
766,82
1233,350
1094,1047
57,131
523,910
218,18
218,61
1275,552
131,319
1137,232
1184,272
1162,163
687,944
301,1249
1241,83
628,827
171,1193
1261,1231
55,1117
506,656
1209,822
294,18
350,1288
1169,74
1233,541
699,1266
1064,1198
537,541
404,1216
913,261
1127,1231
643,1117
1169,541
925,131
163,595
131,1162
46,573
92,105
1077,1266
687,304
48,1117
1169,1193
792,541
752,666
925,373
848,546
1236,1131
1216,365
461,1231
1186,348
992,1022
74,792
1265,635
1207,1240
1030,625
797,82
1239,461
153,1091
752,124
339,944
339,1236
925,939
348,584
541,93
584,552
524,518
298,82
1022,587
1110,304
1065,430
109,944
438,1137
541,766
298,280
131,343
1186,635
48,474
792,1256
1,997
331,1132
1115,746
925,587
691,1047
541,628
541,298
584,146
85,328
609,376
1263,1111
1064,587
280,373
82,1022
731,498
792,1022
792,325
129,591
1154,1275
898,1289
944,869
944,463
348,463
584,1022
584,1261
1296,326
160,537
1117,146
268,82
1271,720
341,1091
244,1156
1065,256
552,792
1233,643
587,1271
944,537
73,770
1054,1084
171,82
268,237
537,1236
1087,327
650,1199
360,256
540,1245
1202,533
588,1022
944,1117
1236,373
595,541
112,588
807,1266
633,1180
6,345
6,506
537,160
68,1091
82,552
48,160
792,588
939,925
1091,341
944,388
997,404
131,6
506,881
259,898
1289,1241
588,792
563,746
331,1166
339,584
45,30
57,944
1111,869
351,319
73,641
584,93
1283,190
520,519
403,12
373,1233
82,233
82,48
1162,792
792,280
498,364
518,524
74,1154
1154,1162
782,364
1193,6
1263,1265
131,1193
268,827
643,268
1086,1105
762,1170
1270,82
587,1236
175,766
884,743
591,129
272,1184
625,1261
584,643
82,541
792,6
762,1039
339,478
1166,583
541,6
541,552
133,1247
160,827
131,1169
537,268
345,792
93,74
350,1295
588,928
1299,997
762,280
587,643
521,529
131,587
1261,268
770,1098
341,112
506,595
193,1189
877,552
350,898
393,92
643,474
513,925
587,18
760,57
1091,156
944,109
1236,1299
524,869
1013,1107
733,82
770,404
6,259
1105,474
463,766
498,1117
583,541
541,57
1054,1117
218,453
1247,1186
1077,807
427,1026
1034,552
498,584
498,461
587,609
587,1289
73,691
541,792
807,160
1022,280
1275,74
6,350
341,925
280,792
474,925
1231,218
1289,1001
463,1186
766,268
1299,404
1299,498
1233,587
339,595
872,587
625,584
300,1137
633,650
404,691
280,643
1044,608
1180,82
774,910
142,259
383,262
107,388
770,73
404,792
373,1289
350,944
1180,625
648,82
588,1001
1198,595
124,380
1236,498
625,461
863,921
73,498
644,268
46,1166
280,1299
93,541
350,1236
792,404
1086,55
331,417
1091,731
1091,153
848,40
57,53
1001,1241
1265,1263
334,1195
163,1162
1261,898
268,766
198,739
404,595
739,198
1126,846
630,1261
760,944
1154,554
944,6
1205,246
146,1117
298,541
1193,331
18,656
228,693
869,602
588,584
552,584
301,1261
881,1236
258,201
656,404
327,1289
1022,625
1022,792
82,766
627,1205
587,131
1292,1271
301,1279
541,73
1252,613
1045,256
171,588
298,1236
1271,474
246,1239
280,541
280,6
982,367
519,520
48,82
552,537
362,716
1236,1022
826,390
131,746
537,1261
537,1064
82,762
259,341
564,1292
588,259
762,82
339,537
718,1236
595,1261
541,325
1193,537
163,1236
18,218
1046,78
268,404
345,1154
1231,541
82,1231
869,766
259,325
774,807
463,944
587,1249
74,1275
898,373
944,1193
1236,792
541,595
819,584
156,1091
303,609
294,839
1239,625
81,142
350,198
153,82
498,762
1166,1132
109,687
262,383
881,506
1241,1064
584,609
18,82
1261,630
461,797
1264,880
48,537
777,74
325,541
1233,733
1219,81
925,588
196,259
1091,1245
1236,537
1236,1198
541,498
474,1186
270,46
1186,587
587,869
984,777
1154,552
57,792
1236,404
625,1239
584,766
298,595
1266,699
1170,348
82,18
998,819
869,280
648,587
762,6
1154,1193
278,272
460,482
743,1219
632,1026
1275,1193
268,925
82,1241
82,763
1233,792
57,18
1236,762
672,539
524,520
609,463
268,259
341,584
230,595
537,131
430,536
430,1065
766,609
768,1127
498,1299
587,1194
925,82
1154,1169
1236,609
595,268
541,643
1117,1086
258,997
1070,648
876,839
716,362
6,57
474,1105
1231,453
82,153
869,160
81,606
648,584
646,1154
1088,462
552,1034
587,350
1047,691
625,435
112,1117
1117,1105
573,1166
1193,341
280,463
1247,133
303,1198
605,163
643,587
720,1271
925,513
1159,408
348,48
880,1186
1117,643
1137,438
770,1180
1170,762
643,82
237,268
552,541
705,1029
109,584
1158,705
1117,588
453,218
1131,516
268,1022
147,287
1288,350
6,872
967,1186
627,716
896,270
1121,962
944,18
584,625
584,819
910,587
18,584
6,774
537,34
404,587
93,584
373,898
82,6
1186,268
552,74
705,1236
1086,1117
587,588
1292,1065
145,717
625,699
863,767
171,625
554,1154
609,944
1022,588
163,584
921,762
1261,552
798,832
537,588
404,280
1264,112
588,625
735,373
1236,944
541,1231
584,160
584,705
1064,584
770,1233
537,774
280,1022
877,99
794,85
792,74
109,876
1047,373
1195,334
73,404
584,163
897,231
163,731
1064,73
770,633
82,376
588,881
881,268
944,541
1236,625
1236,131
1205,540
73,921
584,541
584,1249
656,898
218,552
341,163
404,770
81,910
1270,691
584,1001
792,506
498,881
1154,777
718,696
625,109
146,584
131,93
131,82
6,584
537,1166
537,57
1057,56
867,654
743,884
